SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Eastside Academy	19-Apr-24	410	50
IDEA Eastside College Preparatory	15-Apr-24	527	43
IDEA Eastside College Preparatory	16-Apr-24	530	46
IDEA Eastside College Preparatory	17-Apr-24	529	48
IDEA Eastside College Preparatory	18-Apr-24	531	35
IDEA Eastside College Preparatory	19-Apr-24	531	84
IDEA Edgecliff Academy	15-Apr-24	707	30
IDEA Edgecliff Academy	16-Apr-24	707	26
IDEA Edgecliff Academy	17-Apr-24	707	27
IDEA Edgecliff Academy	18-Apr-24	707	35
IDEA Edgecliff Academy	19-Apr-24	707	57
IDEA Edgecliff College Preparatory	15-Apr-24	458	22
IDEA Edgecliff College Preparatory	16-Apr-24	458	12
IDEA Edgecliff College Preparatory	17-Apr-24	458	14
IDEA Edgecliff College Preparatory	18-Apr-24	458	12
IDEA Edgecliff College Preparatory	19-Apr-24	458	20
IDEA Edgemere Academy	15-Apr-24	840	45
IDEA Edgemere Academy	16-Apr-24	840	26
IDEA Edgemere Academy	17-Apr-24	840	31
IDEA Edgemere Academy	18-Apr-24	840	34
IDEA Edgemere Academy	19-Apr-24	840	50
IDEA Edgemere College Preparatory	15-Apr-24	568	35
IDEA Edgemere College Preparatory	16-Apr-24	567	16
IDEA Edgemere College Preparatory	17-Apr-24	566	30
IDEA Edgemere College Preparatory	18-Apr-24	566	22
IDEA Edgemere College Preparatory	19-Apr-24	566	38
IDEA Edinburg Academy	15-Apr-24	715	37
IDEA Edinburg Academy	16-Apr-24	715	20
IDEA Edinburg Academy	17-Apr-24	715	28
IDEA Edinburg Academy	18-Apr-24	715	46
IDEA Edinburg Academy	19-Apr-24	715	34
IDEA Edinburg College Preparatory	15-Apr-24	754	39
IDEA Edinburg College Preparatory	16-Apr-24	754	30
IDEA Edinburg College Preparatory	17-Apr-24	754	7
IDEA Edinburg College Preparatory	18-Apr-24	754	68
IDEA Edinburg College Preparatory	19-Apr-24	754	79
IDEA Elsa Academy	15-Apr-24	715	22
IDEA Elsa Academy	16-Apr-24	715	17
IDEA Elsa Academy	17-Apr-24	715	34
IDEA Elsa Academy	18-Apr-24	715	24
IDEA Elsa Academy	19-Apr-24	715	30
IDEA Elsa College Preparatory	15-Apr-24	631	48
IDEA Elsa College Preparatory	16-Apr-24	631	43
IDEA Elsa College Preparatory	17-Apr-24	631	14
IDEA Elsa College Preparatory	18-Apr-24	631	46
IDEA Elsa College Preparatory	19-Apr-24	631	48
IDEA Ewing Halsell Academy	15-Apr-24	694	47
IDEA Ewing Halsell Academy	16-Apr-24	694	34
IDEA Ewing Halsell Academy	17-Apr-24	694	36
IDEA Ewing Halsell Academy	18-Apr-24	695	30
IDEA Ewing Halsell Academy	19-Apr-24	695	45
IDEA Ewing Halsell College Preparatory	15-Apr-24	564	38
IDEA Ewing Halsell College Preparatory	16-Apr-24	564	25
IDEA Ewing Halsell College Preparatory	17-Apr-24	564	16
IDEA Ewing Halsell College Preparatory	18-Apr-24	564	33
IDEA Ewing Halsell College Preparatory	19-Apr-24	564	54
IDEA Frontier Academy	15-Apr-24	677	15
IDEA Frontier Academy	16-Apr-24	677	5
IDEA Frontier Academy	17-Apr-24	677	6
IDEA Frontier Academy	18-Apr-24	677	10
IDEA Frontier Academy	19-Apr-24	677	11
IDEA Frontier College Preparatory	15-Apr-24	742	23
IDEA Frontier College Preparatory	16-Apr-24	742	6
IDEA Frontier College Preparatory	17-Apr-24	742	21
IDEA Frontier College Preparatory	18-Apr-24	742	31
IDEA Frontier College Preparatory	19-Apr-24	742	37
IDEA Hardy Academy	15-Apr-24	715	40
IDEA Hardy Academy	16-Apr-24	715	26
IDEA Hardy Academy	17-Apr-24	715	37
IDEA Hardy Academy	18-Apr-24	714	34
IDEA Hardy Academy	19-Apr-24	714	54
IDEA Hardy College Preparatory	15-Apr-24	508	31
IDEA Hardy College Preparatory	16-Apr-24	508	19
IDEA Hardy College Preparatory	17-Apr-24	508	10
IDEA Hardy College Preparatory	18-Apr-24	507	30
IDEA Hardy College Preparatory	19-Apr-24	507	47
IDEA Harlingen Academy	15-Apr-24	624	37
IDEA Harlingen Academy	16-Apr-24	624	14
IDEA Harlingen Academy	17-Apr-24	624	40
IDEA Harlingen Academy	18-Apr-24	624	33
IDEA Harlingen Academy	19-Apr-24	624	48
IDEA Harlingen College Preparatory	15-Apr-24	337	25
IDEA Harlingen College Preparatory	16-Apr-24	337	6
IDEA Harlingen College Preparatory	17-Apr-24	337	23
IDEA Harlingen College Preparatory	18-Apr-24	337	29
IDEA Harlingen College Preparatory	19-Apr-24	337	37
IDEA Health Professions Academy	15-Apr-24	265	32
IDEA Health Professions Academy	16-Apr-24	265	8
IDEA Health Professions Academy	17-Apr-24	265	15
IDEA Health Professions Academy	18-Apr-24	265	15
IDEA Health Professions Academy	19-Apr-24	265	24
IDEA Health Professions College Preparatory	15-Apr-24	293	23
IDEA Health Professions College Preparatory	16-Apr-24	293	19
IDEA Health Professions College Preparatory	17-Apr-24	293	13
IDEA Health Professions College Preparatory	18-Apr-24	293	7
IDEA Health Professions College Preparatory	19-Apr-24	293	21
IDEA Hidden Meadow Academy	15-Apr-24	540	36
IDEA Hidden Meadow Academy	16-Apr-24	540	14
IDEA Hidden Meadow Academy	17-Apr-24	540	18
IDEA Hidden Meadow Academy	18-Apr-24	540	28
IDEA Hidden Meadow Academy	19-Apr-24	540	43
IDEA Hidden Meadow College Preparatory	15-Apr-24	269	17
IDEA Hidden Meadow College Preparatory	16-Apr-24	269	15
IDEA Hidden Meadow College Preparatory	17-Apr-24	268	19
IDEA Hidden Meadow College Preparatory	18-Apr-24	268	18
IDEA Hidden Meadow College Preparatory	19-Apr-24	268	28
IDEA Horizon Vista Academy	15-Apr-24	762	40
IDEA Horizon Vista Academy	16-Apr-24	762	35
IDEA Horizon Vista Academy	17-Apr-24	762	22
IDEA Horizon Vista Academy	18-Apr-24	762	39
IDEA Horizon Vista Academy	19-Apr-24	762	61
IDEA Horizon Vista College Preparatory	15-Apr-24	330	14
IDEA Horizon Vista College Preparatory	16-Apr-24	330	12
IDEA Horizon Vista College Preparatory	17-Apr-24	330	18
IDEA Horizon Vista College Preparatory	18-Apr-24	330	15
IDEA Horizon Vista College Preparatory	19-Apr-24	330	25
IDEA Ingram Hills Academy	15-Apr-24	677	51
IDEA Ingram Hills Academy	16-Apr-24	677	22
IDEA Ingram Hills Academy	17-Apr-24	677	38
IDEA Ingram Hills Academy	18-Apr-24	676	46
IDEA Ingram Hills Academy	19-Apr-24	676	64
IDEA Ingram Hills College Preparatory	15-Apr-24	501	40
IDEA Ingram Hills College Preparatory	16-Apr-24	501	18
IDEA Ingram Hills College Preparatory	17-Apr-24	501	42
IDEA Ingram Hills College Preparatory	18-Apr-24	501	47
IDEA Ingram Hills College Preparatory	19-Apr-24	502	64
IDEA Judson Academy	15-Apr-24	726	33
IDEA Judson Academy	16-Apr-24	726	20
IDEA Judson Academy	17-Apr-24	726	20
IDEA Judson Academy	18-Apr-24	725	28
IDEA Judson Academy	19-Apr-24	723	21
IDEA Judson College Preparatory	15-Apr-24	728	33
IDEA Judson College Preparatory	16-Apr-24	728	13
IDEA Judson College Preparatory	17-Apr-24	728	38
IDEA Judson College Preparatory	18-Apr-24	728	28
IDEA Judson College Preparatory	19-Apr-24	728	30
IDEA Kyle Academy	15-Apr-24	644	40
IDEA Kyle Academy	16-Apr-24	641	23
IDEA Kyle Academy	17-Apr-24	641	20
IDEA Kyle Academy	18-Apr-24	640	30
IDEA Kyle Academy	19-Apr-24	640	42
IDEA Kyle College Preparatory	15-Apr-24	602	46
IDEA Kyle College Preparatory	16-Apr-24	601	26
IDEA Kyle College Preparatory	17-Apr-24	601	33
IDEA Kyle College Preparatory	18-Apr-24	598	28
IDEA Kyle College Preparatory	19-Apr-24	598	31
IDEA La Joya Academy	15-Apr-24	568	37
IDEA La Joya Academy	16-Apr-24	568	33
IDEA La Joya Academy	17-Apr-24	568	26
IDEA La Joya Academy	18-Apr-24	569	38
IDEA La Joya Academy	19-Apr-24	569	57
IDEA La Joya College Preparatory	15-Apr-24	252	22
IDEA La Joya College Preparatory	16-Apr-24	252	4
IDEA La Joya College Preparatory	17-Apr-24	252	20
IDEA La Joya College Preparatory	18-Apr-24	252	23
IDEA La Joya College Preparatory	19-Apr-24	252	35
IDEA Lake Houston Academy	15-Apr-24	680	35
IDEA Lake Houston Academy	16-Apr-24	680	21
IDEA Lake Houston Academy	17-Apr-24	680	32
IDEA Lake Houston Academy	18-Apr-24	680	37
IDEA Lake Houston Academy	19-Apr-24	681	55
IDEA Lake Houston College Preparatory	15-Apr-24	378	11
