SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA San Juan College Preparatory	19-Apr-24	729	72
IDEA South Flores Academy	15-Apr-24	719	51
IDEA South Flores Academy	16-Apr-24	717	38
IDEA South Flores Academy	17-Apr-24	717	18
IDEA South Flores Academy	18-Apr-24	716	19
IDEA South Flores Academy	19-Apr-24	716	32
IDEA South Flores College Preparatory	15-Apr-24	724	51
IDEA South Flores College Preparatory	16-Apr-24	722	28
IDEA South Flores College Preparatory	17-Apr-24	722	20
IDEA South Flores College Preparatory	18-Apr-24	722	21
IDEA South Flores College Preparatory	19-Apr-24	721	57
IDEA Southeast Academy	15-Apr-24	598	28
IDEA Southeast Academy	16-Apr-24	598	34
IDEA Southeast Academy	17-Apr-24	598	26
IDEA Southeast Academy	18-Apr-24	598	40
IDEA Southeast Academy	19-Apr-24	598	56
IDEA Southeast College Preparatory	15-Apr-24	347	19
IDEA Southeast College Preparatory	16-Apr-24	347	15
IDEA Southeast College Preparatory	17-Apr-24	347	6
IDEA Southeast College Preparatory	18-Apr-24	347	20
IDEA Southeast College Preparatory	19-Apr-24	347	22
IDEA Spears Academy	15-Apr-24	679	23
IDEA Spears Academy	16-Apr-24	679	31
IDEA Spears Academy	17-Apr-24	678	36
IDEA Spears Academy	18-Apr-24	678	35
IDEA Spears Academy	19-Apr-24	677	61
IDEA Spears College Preparatory	15-Apr-24	498	27
IDEA Spears College Preparatory	16-Apr-24	498	12
IDEA Spears College Preparatory	17-Apr-24	498	26
IDEA Spears College Preparatory	18-Apr-24	498	14
IDEA Spears College Preparatory	19-Apr-24	498	40
IDEA Sports Park Academy	15-Apr-24	583	46
IDEA Sports Park Academy	16-Apr-24	583	39
IDEA Sports Park Academy	17-Apr-24	583	11
IDEA Sports Park Academy	18-Apr-24	583	37
IDEA Sports Park Academy	19-Apr-24	583	36
IDEA Sports Park College Preparatory	15-Apr-24	410	38
IDEA Sports Park College Preparatory	16-Apr-24	410	31
IDEA Sports Park College Preparatory	17-Apr-24	410	19
IDEA Sports Park College Preparatory	18-Apr-24	410	14
IDEA Sports Park College Preparatory	19-Apr-24	410	47
IDEA Toros College Preparatory	15-Apr-24	267	15
IDEA Toros College Preparatory	16-Apr-24	267	5
IDEA Toros College Preparatory	17-Apr-24	267	55
IDEA Toros College Preparatory	18-Apr-24	267	18
IDEA Toros College Preparatory	19-Apr-24	267	22
IDEA Tres Lagos Academy	15-Apr-24	684	14
IDEA Tres Lagos Academy	16-Apr-24	684	15
IDEA Tres Lagos Academy	17-Apr-24	684	19
IDEA Tres Lagos Academy	18-Apr-24	684	34
IDEA Tres Lagos Academy	19-Apr-24	684	40
IDEA Tres Lagos College Preparatory	15-Apr-24	628	28
IDEA Tres Lagos College Preparatory	16-Apr-24	627	26
IDEA Tres Lagos College Preparatory	17-Apr-24	627	34
IDEA Tres Lagos College Preparatory	18-Apr-24	626	64
IDEA Tres Lagos College Preparatory	19-Apr-24	626	66
IDEA Walzem Academy	15-Apr-24	626	27
IDEA Walzem Academy	16-Apr-24	628	17
IDEA Walzem Academy	17-Apr-24	630	30
IDEA Walzem Academy	18-Apr-24	630	38
IDEA Walzem Academy	19-Apr-24	630	54
IDEA Walzem College Preparatory	15-Apr-24	726	57
IDEA Walzem College Preparatory	16-Apr-24	725	27
IDEA Walzem College Preparatory	17-Apr-24	725	28
IDEA Walzem College Preparatory	18-Apr-24	724	22
IDEA Walzem College Preparatory	19-Apr-24	724	74
IDEA Weslaco Academy	15-Apr-24	679	49
IDEA Weslaco Academy	16-Apr-24	678	30
IDEA Weslaco Academy	17-Apr-24	678	51
IDEA Weslaco Academy	18-Apr-24	678	40
IDEA Weslaco Academy	19-Apr-24	678	46
IDEA Weslaco College Preparatory	15-Apr-24	739	63
IDEA Weslaco College Preparatory	16-Apr-24	739	38
IDEA Weslaco College Preparatory	17-Apr-24	739	38
IDEA Weslaco College Preparatory	18-Apr-24	739	42
IDEA Weslaco College Preparatory	19-Apr-24	738	60
IDEA Weslaco Pike Academy	15-Apr-24	724	16
IDEA Weslaco Pike Academy	16-Apr-24	724	25
IDEA Weslaco Pike Academy	17-Apr-24	724	41
IDEA Weslaco Pike Academy	18-Apr-24	724	32
IDEA Weslaco Pike Academy	19-Apr-24	724	46
IDEA Weslaco Pike College Preparatory	15-Apr-24	724	21
IDEA Weslaco Pike College Preparatory	16-Apr-24	724	21
IDEA Weslaco Pike College Preparatory	17-Apr-24	724	48
IDEA Weslaco Pike College Preparatory	18-Apr-24	724	24
IDEA Weslaco Pike College Preparatory	19-Apr-24	724	52
IDEA Yukon Academy	15-Apr-24	710	35
IDEA Yukon Academy	16-Apr-24	710	26
IDEA Yukon Academy	17-Apr-24	710	19
IDEA Yukon Academy	18-Apr-24	711	31
IDEA Yukon Academy	19-Apr-24	710	26
IDEA Yukon College Preparatory	15-Apr-24	356	22
IDEA Yukon College Preparatory	16-Apr-24	356	20
IDEA Yukon College Preparatory	17-Apr-24	356	16
IDEA Yukon College Preparatory	18-Apr-24	356	13
IDEA Yukon College Preparatory	19-Apr-24	356	26
